transaction_id,customer_id,campaign_id,transaction_amount,clicks,impressions,conversions,transaction_date
1,4102,729,24.56,4,22,0,2023-01-01 00:00:00
2,1228,9,12.61,1,43,0,2023-01-01 01:00:00
3,18801,829,77.56,4,52,0,2023-01-01 02:00:00
4,15230,101,21.48,2,51,0,2023-01-01 03:00:00
5,722,664,116.55,3,32,0,2023-01-01 04:00:00
6,17315,979,57.13,2,10,0,2023-01-01 05:00:00
7,10521,868,43.24,3,28,0,2023-01-01 06:00:00
8,11158,701,15.95,2,29,0,2023-01-01 07:00:00
9,11742,866,16.99,4,6,0,2023-01-01 08:00:00
10,2476,203,16.46,5,44,0,2023-01-01 09:00:00
11,8605,640,21.9,2,24,0,2023-01-01 10:00:00
12,17223,432,15.5,0,1,0,2023-01-01 11:00:00
13,3688,803,29.35,3,36,0,2023-01-01 12:00:00
14,1027,252,93.6,3,36,1,2023-01-01 13:00:00
15,12973,348,17.92,2,35,0,2023-01-01 14:00:00
16,19220,372,27.79,2,17,0,2023-01-01 15:00:00
17,5796,617,39.87,3,32,0,2023-01-01 16:00:00
18,8252,543,57.58,5,33,0,2023-01-01 17:00:00
19,590,612,23.55,4,33,0,2023-01-01 18:00:00
20,10770,225,57.59,3,18,0,2023-01-01 19:00:00
21,19553,893,20.16,5,17,0,2023-01-01 20:00:00
22,18419,143,59.36,3,12,0,2023-01-01 21:00:00
23,12261,194,87.69,5,33,0,2023-01-01 22:00:00
24,5078,639,11.17,4,33,0,2023-01-01 23:00:00
25,14062,359,147.52,5,9,0,2023-01-02 00:00:00
26,17161,255,72.37,3,31,1,2023-01-02 01:00:00
27,16020,539,159.68,3,20,0,2023-01-02 02:00:00
28,8239,879,25.37,4,16,1,2023-01-02 03:00:00
29,15617,144,149.3,4,39,0,2023-01-02 04:00:00
30,17886,579,40.22,4,36,1,2023-01-02 05:00:00
31,6500,447,18.22,2,25,0,2023-01-02 06:00:00
32,1665,539,76.83,0,24,0,2023-01-02 07:00:00
33,6597,928,69.32,4,29,0,2023-01-02 08:00:00
34,12233,698,137.44,0,46,0,2023-01-02 09:00:00
35,6321,419,28.12,1,12,0,2023-01-02 10:00:00
36,11196,152,59.61,6,47,0,2023-01-02 11:00:00
37,18407,583,171.03,8,19,0,2023-01-02 12:00:00
38,8402,881,112.93,5,31,0,2023-01-02 13:00:00
39,13337,1000,96.4,3,40,0,2023-01-02 14:00:00
40,9380,83,115.46,3,11,1,2023-01-02 15:00:00
41,3054,645,102.99,1,2,0,2023-01-02 16:00:00
42,16419,167,33.83,2,23,0,2023-01-02 17:00:00
43,2044,819,10.78,2,49,0,2023-01-02 18:00:00
44,12763,703,229.58,5,25,0,2023-01-02 19:00:00
45,19339,760,84.55,2,42,0,2023-01-02 20:00:00
46,8456,512,22.8,2,28,0,2023-01-02 21:00:00
47,9321,520,78.91,3,6,0,2023-01-02 22:00:00
48,19676,601,32.67,4,5,1,2023-01-02 23:00:00
49,13528,790,24.17,4,40,1,2023-01-03 00:00:00
50,18496,66,51.73,2,17,0,2023-01-03 01:00:00
51,19401,168,10.54,2,34,0,2023-01-03 02:00:00
52,4856,558,197.48,2,22,0,2023-01-03 03:00:00
53,14310,522,153.22,3,10,0,2023-01-03 04:00:00
54,16857,850,88.06,5,17,0,2023-01-03 05:00:00
55,7704,473,12.75,6,30,1,2023-01-03 06:00:00
56,11770,626,13.89,2,16,0,2023-01-03 07:00:00
57,4675,464,62.25,2,12,0,2023-01-03 08:00:00
58,4331,719,90.42,3,29,0,2023-01-03 09:00:00
59,14938,967,12.78,2,29,0,2023-01-03 10:00:00
60,18526,716,51.47,5,29,0,2023-01-03 11:00:00
61,2909,352,70.05,3,43,0,2023-01-03 12:00:00
62,6333,707,18.93,1,6,0,2023-01-03 13:00:00
63,13997,897,19.65,9,38,0,2023-01-03 14:00:00
64,17783,824,143.95,2,31,0,2023-01-03 15:00:00
65,19854,811,35.63,2,19,0,2023-01-03 16:00:00
66,18842,765,26.05,4,33,1,2023-01-03 17:00:00
67,3685,471,12.33,3,23,0,2023-01-03 18:00:00
68,18618,163,11.88,1,35,0,2023-01-03 19:00:00
69,15390,321,24.93,3,36,0,2023-01-03 20:00:00
70,470,748,58.38,5,30,0,2023-01-03 21:00:00
71,5500,940,56.46,1,33,0,2023-01-03 22:00:00
72,10362,84,22.78,1,40,0,2023-01-03 23:00:00
73,4324,208,77.85,4,25,0,2023-01-04 00:00:00
74,989,485,40.92,2,49,0,2023-01-04 01:00:00
75,17816,813,90.31,3,13,0,2023-01-04 02:00:00
76,14219,547,139.1,4,14,0,2023-01-04 03:00:00
77,6697,549,23.55,4,9,0,2023-01-04 04:00:00
78,12303,577,39.74,3,23,0,2023-01-04 05:00:00
79,16598,943,12.73,1,45,0,2023-01-04 06:00:00
80,12891,311,81.92,2,37,0,2023-01-04 07:00:00
81,12340,674,29.47,3,44,1,2023-01-04 08:00:00
82,7484,21,62.66,1,32,0,2023-01-04 09:00:00
83,19605,794,33.99,3,41,1,2023-01-04 10:00:00
84,3441,14,17.69,2,42,0,2023-01-04 11:00:00
85,5733,146,10.35,3,52,1,2023-01-04 12:00:00
86,18789,856,61.13,1,3,0,2023-01-04 13:00:00
87,8892,547,146.16,4,38,1,2023-01-04 14:00:00
88,5153,449,126.93,3,8,0,2023-01-04 15:00:00
89,9502,246,151.12,2,41,0,2023-01-04 16:00:00
90,4613,239,68.25,4,25,1,2023-01-04 17:00:00
91,17065,528,38.03,5,46,0,2023-01-04 18:00:00
92,3901,573,47.37,3,25,0,2023-01-04 19:00:00
93,15103,366,74.77,1,44,0,2023-01-04 20:00:00
94,4365,504,27.75,4,12,1,2023-01-04 21:00:00
95,14332,871,20.63,5,42,1,2023-01-04 22:00:00
96,18172,358,13.51,3,5,0,2023-01-04 23:00:00
97,17102,533,42.38,6,10,0,2023-01-05 00:00:00
98,3858,984,14.8,2,27,0,2023-01-05 01:00:00
99,2188,26,40.83,4,45,0,2023-01-05 02:00:00
100,12432,175,93.78,5,11,0,2023-01-05 03:00:00
101,10462,814,18.3,1,42,0,2023-01-05 04:00:00
102,781,500,16.42,3,38,0,2023-01-05 05:00:00
103,16274,359,24.08,1,7,0,2023-01-05 06:00:00
104,17014,18,14.35,6,53,0,2023-01-05 07:00:00
105,5730,425,32.67,1,15,0,2023-01-05 08:00:00
106,4531,216,56.93,2,10,0,2023-01-05 09:00:00
107,5665,236,41.94,0,6,0,2023-01-05 10:00:00
108,7622,860,73.71,5,38,0,2023-01-05 11:00:00
109,16182,276,16.41,2,28,0,2023-01-05 12:00:00
110,11270,893,30.8,3,49,0,2023-01-05 13:00:00
111,3313,615,36.97,5,20,0,2023-01-05 14:00:00
112,11319,465,40.78,3,7,0,2023-01-05 15:00:00
113,18815,469,13.56,4,52,1,2023-01-05 16:00:00
114,11335,242,13.32,0,10,0,2023-01-05 17:00:00
115,9822,914,14.41,3,10,0,2023-01-05 18:00:00
116,17858,114,17.56,5,22,1,2023-01-05 19:00:00
117,18454,66,10.02,2,46,0,2023-01-05 20:00:00
118,16945,229,27.97,7,44,0,2023-01-05 21:00:00
119,2696,676,36.5,5,47,0,2023-01-05 22:00:00
120,7911,913,49.78,6,45,1,2023-01-05 23:00:00
121,10852,299,11.39,2,11,0,2023-01-06 00:00:00
122,14804,582,39.44,2,4,0,2023-01-06 01:00:00
123,7461,419,149.06,3,13,1,2023-01-06 02:00:00
124,10952,232,79.57,7,51,0,2023-01-06 03:00:00
125,2004,482,29.37,1,48,0,2023-01-06 04:00:00
126,12409,440,47.35,5,14,1,2023-01-06 05:00:00
127,3993,982,69.97,5,25,0,2023-01-06 06:00:00
128,1462,613,18.39,5,52,0,2023-01-06 07:00:00
129,13039,352,13.74,2,36,0,2023-01-06 08:00:00
130,17279,266,58.24,7,50,0,2023-01-06 09:00:00
131,9199,326,76.78,4,51,0,2023-01-06 10:00:00
132,12475,461,46.1,8,36,0,2023-01-06 11:00:00
133,5279,326,69.44,5,27,0,2023-01-06 12:00:00
